ID,Card Name,Card Type,Points,Description,List,Labels,Members,Due Date,Closed,Date Last Activity,URL,Short Link,Checklist Count,Attachment Count
6888d6b47c58b0f5d424247f,[essential - 1]: Data Creation: Format Validations  - Number,essential,1,"Sprint #: 7

Sprint Started:

Sprint Completed:

Points: 1

‌

Repo: jadn-sandbox

Base branch: data-creation-2-dynamic-form

Branch: data-creation-2-validator",Code Review,JADN Sandbox,Joshua Cohen,,True,2025-07-29T18:01:15.700Z,https://trello.com/c/ncJaDnTm/650-essential-1-data-creation-format-validations-number,ncJaDnTm,1,0
6887c1d741b1c961a42b57e1,[essential - 2]: Data Creation: Format Validations  - Binary,essential,2,"Sprint #: 7

Sprint Started:

Sprint Completed:

Points: 2

‌

Repo: jadn-sandbox

Base branch: data-creation-2-dynamic-form

Branch: data-creation-2-validator",Code Review,JADN Sandbox,Joshua Cohen,,True,2025-07-29T18:01:19.668Z,https://trello.com/c/dmjBSBoc/647-essential-2-data-creation-format-validations-binary,dmjBSBoc,1,1
6888cfe775a8c34427f49efb,[essential - 2]: Data Creation: Format Validations  - Integer,essential,2,"Sprint #: 7

Sprint Started:

Sprint Completed:

Points: 2

‌

Repo: jadn-sandbox

Base branch: data-creation-2-dynamic-form

Branch: data-creation-2-validator",Code Review,JADN Sandbox,Joshua Cohen,,True,2025-07-29T18:01:17.446Z,https://trello.com/c/7av4Iejd/649-essential-2-data-creation-format-validations-integer,7av4Iejd,1,0
68922fd9b2c760f514b80b9f,[issue - 1]: Data Creation: Excess headers causing clutter and decreased UX,issue,1,"Sprint #: 8

Sprint Started: 7/31

Sprint Completed:

Points: 1

‌

Repo: jadn-sandbox

Base branch: data-creation-2

Branch: data-creation-2-api

‌

Removed individual headers for each mapping of ArrayOf & MapOf",Code Review,JADN Sandbox,Joshua Cohen,,True,2025-08-06T17:53:54.670Z,https://trello.com/c/DoPY3DxE/671-issue-1-data-creation-excess-headers-causing-clutter-and-decreased-ux,DoPY3DxE,0,0
686c128305b2090b46889327,[customer request - 1] JADN CLI: Readme Install and Startup Instructions,customer request,1,"Sprint #: 3, 4

Sprint Started: 05/22/2025

Sprint Completed: 06/17/2025

Points: 3

Repo: jadn-cli

Branch: main

‌

Goal:

Install and startup instructions, add to the readme.",Done - Sprint #0,JADN CLI,"Matt, Kevin Cressman, Joshua Cohen",,False,2025-07-07T18:31:33.818Z,https://trello.com/c/TqWIPfNe/576-customer-request-1-jadn-cli-readme-install-and-startup-instructions,TqWIPfNe,0,1
686c127e05b2090b468881c1,[customer request - 1] Schema Creation - UUID Binary format option,customer request,1,Existing UUID format option as applied to String type must be moved to apply to Binary type to match desire for UUID to be presented as a Binary data object.,Done - Sprint #0,"JADN Sandbox, v0.13.1, Customer Sync, MSR, JADN CLI",Kevin Cressman,,False,2025-07-07T18:32:07.346Z,https://trello.com/c/l38AROQq/556-customer-request-1-schema-creation-uuid-binary-format-option,l38AROQq,0,0
686c128305b2090b4688916a,[customer request - 2] JADN CLI: Separate Translations from Visualizations,customer request,2,"Sprint #: 4

Sprint Started: 06/05/2025

Sprint Completed: 06/17/2025

Points: 2

‌

Repo: jadn-cli

Branch: develop

‌

Goal:

Separate Translations from Visualizations",Done - Sprint #0,JADN CLI,"Matt, Kevin Cressman",,False,2025-07-07T18:31:33.103Z,https://trello.com/c/dbLzIu0H/573-customer-request-2-jadn-cli-separate-translations-from-visualizations,dbLzIu0H,0,0
686c128305b2090b4688926d,[customer request - 3] JADN CLI: Data Validation Logic,customer request,3,"Sprint #: 3

Sprint Started: 05/22/2025

Sprint Completed: 06/04/2025

Points: 3

‌

Repo: jadn-cli

Branch: develop

‌

Goal:

Data validation logic added from sandbox api and jadn-validation.",Done - Sprint #0,JADN CLI,Matt,,False,2025-07-07T18:31:33.149Z,https://trello.com/c/nMY2OlBw/574-customer-request-3-jadn-cli-data-validation-logic,nMY2OlBw,0,0
686c128205b2090b46888edc,[customer request - 3] JADN CLI: Direct Commands & Args,customer request,3,"Sprint #: 4

Sprint Started: 06/05/2025

Sprint Completed: 06/17/2025

Points: 3

‌

Repo: jadn-cli

Branch:

‌

Goal:

Allow the user to enter commands directly into the cli.

‌

Commands:
poetry run python jadn\_cli.py schema\_v music-database.jadn

poetry run python jadn\_cli.py data\_v music-database.jadn music_library.json

poetry run python jadn\_cli.py schema\_t music-database.jadn xsd

poetry run python jadn\_cli.py schema\_vis music-database.jadn gv

poetry run python jadn\_cli.py err\_report_gen",Done - Sprint #0,JADN CLI,Matt,,False,2025-07-07T18:31:31.917Z,https://trello.com/c/32pCROpA/570-customer-request-3-jadn-cli-direct-commands-args,32pCROpA,0,0
686c128405b2090b468893d6,[customer request - 3] JADN CLI: Initial Setup,customer request,3,"Sprint #: 3

Sprint Started: 05/22/2025

Sprint Completed: 06/04/2025

Points: 3

‌

Repo: jadn-cli

Branch: main

‌

Goal:

Setup the initial repo and cli structure.",Done - Sprint #0,JADN CLI,"Matt, Kevin Cressman, Joshua Cohen",,False,2025-07-07T18:31:33.780Z,https://trello.com/c/o09utgg0/578-customer-request-3-jadn-cli-initial-setup,o09utgg0,0,1
686c128205b2090b46888edd,[customer request - 3] JADN CLI: JIDL to JADN,customer request,3,"Sprint #: 4

Sprint Started: 06/05/2025

Sprint Completed: 06/17/2025

Points: 3

‌

Repo: jadn-cli

Branch: develop

‌

Goal:

Going backward, some loss may occur.",Done - Sprint #0,JADN CLI,"Matt, Kevin Cressman",,False,2025-07-07T18:31:32.169Z,https://trello.com/c/laWUVNr7/571-customer-request-3-jadn-cli-jidl-to-jadn,laWUVNr7,0,1
